,accuracy,f1,precision,recall,loss,training_time
0,0.9974383333333333,0.9928508014116658,0.9921295451356144,0.9936053333333333,2.502745886643728e-07,1.7100717822710674
1,0.9897725,0.959183539405406,0.9636224159461316,0.959168,2.798898418744405e-06,1.6971973816553751
2,0.9897975,0.9597694183413763,0.9630648964006029,0.9601859999999999,2.4296579758326214e-06,1.7069549679756164
3,0.9981625,0.9958872453778366,0.9947444238039486,0.997042,3.5575387378533683e-07,1.7013817350069682
4,0.9982633333333333,0.9931736510167731,0.9932596171006262,0.9931673333333334,5.119405376414458e-08,1.6972867806752523
5,0.9986091666666667,0.9952391689964631,0.9947008647491504,0.9957956666666666,3.6259967212875686e-08,1.6971740007400513
6,0.99988,0.9997179865761793,0.9997450841922282,0.999691,1.1504978562394777e-08,1.7034716963768006
7,0.99665,0.9897806495843279,0.9875096849743903,0.992072,1.8364680310090384e-07,1.700334334373474
8,0.9166275,0.5588805851846557,0.6652200839897654,0.6666780000000001,3.4752821922302246e-06,1.7048078338305155
9,0.9982416666666667,0.993103550095658,0.9931707703621439,0.9931136666666668,6.114120284716288e-08,1.707470448811849
10,0.99573,0.9837246642995665,0.9839168390482901,0.984216,1.8935552487770717e-07,1.69981556336085
11,0.9949683333333333,0.9867704954941887,0.9820150820941098,0.9919393333333334,2.9643495877583824e-07,1.703995136419932
12,0.9946241666666666,0.981533512843303,0.9797630911711809,0.9833356666666667,1.6202190270026525e-07,1.7021511673927308
13,0.9948241666666666,0.9794945085033296,0.9804450134939925,0.9793956666666667,5.815833806991578e-07,1.7001739660898845
14,0.9991733333333334,0.9977904240395654,0.9969886482392988,0.9986013333333333,9.4273891299963e-08,1.6976695974667868
15,0.999415,0.9982990061490855,0.9979011875773539,0.9986980000000001,2.665957435965538e-08,1.7337158838907878
16,0.9984908333333333,0.9947167646563551,0.9941919397459188,0.9952833333333334,9.392869969209036e-08,1.7030837694803873
17,0.99872,0.995066726537897,0.9952523938333394,0.99494,6.124551097551981e-08,1.699282948176066
18,0.999425,0.9983316527918294,0.9978938110861014,0.9987710000000001,2.8729460512598356e-08,1.7012961824735007
19,0.9257325,0.6757866590279097,0.7343133562754334,0.707304,4.247255325317383e-06,1.716333770751953
20,0.9962133333333333,0.9880239267724065,0.9859370197468259,0.9901843333333332,9.63016040623188e-08,1.7023378491401673
21,0.9980366666666667,0.9927549108010525,0.9924971649409415,0.9931216666666667,7.990303138891856e-08,1.7079343318939209
22,0.9957608333333333,0.9837752293753835,0.9840288277429153,0.9841953333333334,1.905563846230507e-07,1.7107294162114461
23,0.997165,0.9888399574498686,0.9892480018226971,0.988702,1.9242712606986364e-07,1.7062402526537577
24,0.9984891666666666,0.9965985110249083,0.9960425473227271,0.9971576666666667,2.865341305732727e-07,1.703014318148295
25,0.9982566666666667,0.9931409746413645,0.9932319098613999,0.9931286666666667,5.422607685128848e-08,1.7029878854751588
26,0.9993466666666667,0.9985487314539451,0.997726101945828,0.9993756666666668,5.0957361236214636e-08,1.6998979131380716
27,0.99164,0.9698130537627166,0.9676292862658373,0.972035,3.0259897311528526e-07,1.7030938665072124
28,0.9963116666666667,0.9853446920812257,0.9855003796695344,0.9853486666666665,9.769350911180178e-08,1.7082289338111878
29,0.99901,0.9970478905227337,0.9964671131335462,0.99763,6.150692701339721e-08,1.7038686354955037
